,,start_date,end_date,annual_return,benchmark_annual_return,cumulative_return,benchmark_cumulative_return,max_drawdown,sharpe,sortino,information_ratio,beta,annual_turnover,average_period_turnover,total_cost_drag,final_nav,benchmark_final_nav,rebalance_count,hold_count,sell_rank,weighting
5y,0,2021-06-30,2026-06-16,0.10735026766778688,0.0011863394325806187,0.6264191980513958,0.005671318276732729,-0.07297477965527543,1.2014386128764587,1.303631919859974,0.5377644890418561,0.20965846020591314,13.454343044670226,0.12733150935132914,0.09626262106960484,1.6264191980513958,1.0056713182767327,504,30,60,inv_vol
max,0,2005-01-31,2026-06-16,0.0748726434532645,0.08934374030013381,3.422630437111927,4.824697192344399,-0.16200717279614718,0.9205684046514715,0.956013544275223,-0.18676145123688723,0.14942955263956811,9.889446025744903,0.07296175266814292,0.30545437754518034,4.422630437111927,5.824697192344399,2791,30,60,inv_vol
