date,industry_name,holding_count
2009-12-31,批发业,2
2009-12-31,橡胶和塑料制品业,1
2009-12-31,汽车制造业,2
2009-12-31,电力、热力生产和供应业,2
2009-12-31,电气机械和器材制造业,1
2009-12-31,计算机、通信和其他电子设备制造业,6
2009-12-31,软件和信息技术服务业,1
2009-12-31,通用设备制造业,2
2009-12-31,道路运输业,1
2009-12-31,酒、饮料和精制茶制造业,3
2009-12-31,铁路、船舶、航空航天和其他运输设备制造业,1
2009-12-31,非金属矿物制品业,2
2010-03-31,医药制造业,4
2010-03-31,土木工程建筑业,3
2010-03-31,建筑装饰和其他建筑业,1
2010-03-31,房地产业,1
2010-03-31,批发业,1
2010-03-31,水的生产和供应业,1
2010-03-31,汽车制造业,3
2010-03-31,渔业,1
2010-03-31,电气机械和器材制造业,2
2010-03-31,综合,1
2010-03-31,计算机、通信和其他电子设备制造业,5
2010-03-31,通用设备制造业,3
2010-03-31,造纸和纸制品业,1
2010-03-31,道路运输业,1
2010-03-31,酒、饮料和精制茶制造业,1
2010-03-31,零售业,1
2010-06-30,专用设备制造业,1
2010-06-30,农业,1
2010-06-30,医药制造业,6
2010-06-30,商务服务业,1
2010-06-30,批发业,1
2010-06-30,有色金属冶炼和压延加工业,1
2010-06-30,有色金属矿采选业,1
2010-06-30,橡胶和塑料制品业,1
2010-06-30,电气机械和器材制造业,1
2010-06-30,纺织服装、服饰业,1
2010-06-30,综合,1
2010-06-30,计算机、通信和其他电子设备制造业,5
2010-06-30,通用设备制造业,1
2010-06-30,造纸和纸制品业,1
2010-06-30,酒、饮料和精制茶制造业,3
2010-06-30,铁路运输业,1
2010-06-30,零售业,1
2010-06-30,食品制造业,2
2010-09-30,农副食品加工业,1
2010-09-30,化学原料和化学制品制造业,1
2010-09-30,医药制造业,5
2010-09-30,土木工程建筑业,1
2010-09-30,房地产业,1
2010-09-30,有色金属冶炼和压延加工业,2
2010-09-30,有色金属矿采选业,1
2010-09-30,林业,1
2010-09-30,汽车制造业,2
2010-09-30,渔业,1
2010-09-30,电气机械和器材制造业,2
2010-09-30,计算机、通信和其他电子设备制造业,2
2010-09-30,软件和信息技术服务业,1
2010-09-30,酒、饮料和精制茶制造业,5
2010-09-30,金属制品业,1
2010-09-30,铁路、船舶、航空航天和其他运输设备制造业,2
2010-09-30,非金属矿物制品业,1
2010-12-31,专用设备制造业,2
2010-12-31,农副食品加工业,1
2010-12-31,化学原料和化学制品制造业,1
2010-12-31,医药制造业,2
2010-12-31,建筑装饰和其他建筑业,1
2010-12-31,开采辅助活动,2
2010-12-31,有色金属矿采选业,1
2010-12-31,橡胶和塑料制品业,2
2010-12-31,汽车制造业,1
2010-12-31,煤炭开采和洗选业,2
2010-12-31,电气机械和器材制造业,2
2010-12-31,计算机、通信和其他电子设备制造业,6
2010-12-31,软件和信息技术服务业,1
2010-12-31,通用设备制造业,2
2010-12-31,金属制品业,1
2010-12-31,非金属矿物制品业,3
2011-03-31,专用设备制造业,2
2011-03-31,化学原料和化学制品制造业,2
2011-03-31,医药制造业,2
2011-03-31,房地产业,2
2011-03-31,批发业,1
2011-03-31,有色金属冶炼和压延加工业,2
2011-03-31,有色金属矿采选业,1
2011-03-31,橡胶和塑料制品业,1
2011-03-31,水上运输业,1
2011-03-31,汽车制造业,2
2011-03-31,煤炭开采和洗选业,4
2011-03-31,电力、热力生产和供应业,2
2011-03-31,综合,1
2011-03-31,计算机、通信和其他电子设备制造业,1
2011-03-31,非金属矿物制品业,5
2011-03-31,黑色金属冶炼和压延加工业,1
2011-06-30,农副食品加工业,1
2011-06-30,化学原料和化学制品制造业,5
2011-06-30,化学纤维制造业,1
2011-06-30,土木工程建筑业,1
2011-06-30,房地产业,2
2011-06-30,新闻和出版业,1
2011-06-30,水上运输业,1
2011-06-30,煤炭开采和洗选业,3
2011-06-30,电力、热力生产和供应业,2
2011-06-30,电气机械和器材制造业,1
2011-06-30,石油加工、炼焦和核燃料加工业,1
2011-06-30,研究和试验发展,1
2011-06-30,计算机、通信和其他电子设备制造业,1
2011-06-30,软件和信息技术服务业,1
2011-06-30,酒、饮料和精制茶制造业,5
2011-06-30,非金属矿物制品业,2
2011-06-30,食品制造业,1
2011-09-30,农、林、牧、渔服务业,1
2011-09-30,农副食品加工业,1
2011-09-30,化学原料和化学制品制造业,3
2011-09-30,医药制造业,2
2011-09-30,商务服务业,1
2011-09-30,土木工程建筑业,1
2011-09-30,有色金属冶炼和压延加工业,1
2011-09-30,煤炭开采和洗选业,3
2011-09-30,电信、广播电视和卫星传输服务,1
2011-09-30,电力、热力生产和供应业,1
2011-09-30,计算机、通信和其他电子设备制造业,1
2011-09-30,软件和信息技术服务业,1
2011-09-30,通用设备制造业,1
2011-09-30,酒、饮料和精制茶制造业,10
2011-09-30,零售业,1
2011-09-30,非金属矿物制品业,1
2011-12-30,其他金融业,1
2011-12-30,农业,1
2011-12-30,农副食品加工业,1
2011-12-30,医药制造业,4
2011-12-30,印刷和记录媒介复制业,1
2011-12-30,商务服务业,1
2011-12-30,新闻和出版业,1
2011-12-30,汽车制造业,1
2011-12-30,煤炭开采和洗选业,1
2011-12-30,电信、广播电视和卫星传输服务,1
2011-12-30,电力、热力生产和供应业,5
2011-12-30,石油和天然气开采业,1
2011-12-30,航空运输业,1
2011-12-30,计算机、通信和其他电子设备制造业,1
2011-12-30,酒、饮料和精制茶制造业,7
2011-12-30,铁路运输业,2
2012-03-30,专用设备制造业,1
2012-03-30,公共设施管理业,1
2012-03-30,农副食品加工业,1
2012-03-30,化学原料和化学制品制造业,1
2012-03-30,医药制造业,2
2012-03-30,房地产业,1
2012-03-30,有色金属冶炼和压延加工业,1
2012-03-30,汽车制造业,1
2012-03-30,煤炭开采和洗选业,1
2012-03-30,电信、广播电视和卫星传输服务,1
2012-03-30,电气机械和器材制造业,1
2012-03-30,研究和试验发展,1
2012-03-30,计算机、通信和其他电子设备制造业,2
2012-03-30,软件和信息技术服务业,2
2012-03-30,造纸和纸制品业,1
2012-03-30,道路运输业,1
2012-03-30,酒、饮料和精制茶制造业,10
2012-03-30,零售业,1
2012-06-29,化学原料和化学制品制造业,2
2012-06-29,医药制造业,10
2012-06-29,卫生,1
2012-06-29,房地产业,1
2012-06-29,批发业,1
2012-06-29,电力、热力生产和供应业,4
2012-06-29,电气机械和器材制造业,2
2012-06-29,计算机、通信和其他电子设备制造业,2
2012-06-29,酒、饮料和精制茶制造业,6
2012-06-29,零售业,1
2012-09-28,化学原料和化学制品制造业,4
2012-09-28,医药制造业,11
2012-09-28,有色金属矿采选业,3
2012-09-28,橡胶和塑料制品业,1
2012-09-28,电信、广播电视和卫星传输服务,1
2012-09-28,计算机、通信和其他电子设备制造业,8
2012-09-28,酒、饮料和精制茶制造业,2
2012-12-31,互联网和相关服务,1
2012-12-31,农业,1
2012-12-31,化学原料和化学制品制造业,1
2012-12-31,医药制造业,2
2012-12-31,土木工程建筑业,1
2012-12-31,废弃资源综合利用业,1
2012-12-31,房地产业,12
2012-12-31,汽车制造业,4
2012-12-31,电力、热力生产和供应业,2
2012-12-31,电气机械和器材制造业,3
2012-12-31,非金属矿物制品业,2
2013-03-29,专用设备制造业,2
2013-03-29,农副食品加工业,1
2013-03-29,化学原料和化学制品制造业,4
2013-03-29,医药制造业,5
2013-03-29,商务服务业,1
2013-03-29,房地产业,1
2013-03-29,有色金属冶炼和压延加工业,1
2013-03-29,水的生产和供应业,3
2013-03-29,汽车制造业,1
2013-03-29,电气机械和器材制造业,1
2013-03-29,计算机、通信和其他电子设备制造业,6
2013-03-29,资本市场服务,1
2013-03-29,软件和信息技术服务业,1
2013-03-29,造纸和纸制品业,1
2013-03-29,食品制造业,1
2013-06-28,专用设备制造业,1
2013-06-28,互联网和相关服务,4
2013-06-28,化学原料和化学制品制造业,1
2013-06-28,医药制造业,3
2013-06-28,卫生,1
2013-06-28,商务服务业,1
2013-06-28,新闻和出版业,1
2013-06-28,电信、广播电视和卫星传输服务,1
2013-06-28,电力、热力生产和供应业,1
2013-06-28,电气机械和器材制造业,3
2013-06-28,计算机、通信和其他电子设备制造业,3
2013-06-28,软件和信息技术服务业,9
2013-06-28,通用设备制造业,1
2013-09-30,互联网和相关服务,6
2013-09-30,印刷和记录媒介复制业,1
2013-09-30,商务服务业,2
2013-09-30,广播、电视、电影和影视录音制作业,2
2013-09-30,房地产业,1
2013-09-30,批发业,2
2013-09-30,文化艺术业,1
2013-09-30,新闻和出版业,1
2013-09-30,水上运输业,1
2013-09-30,电信、广播电视和卫星传输服务,1
2013-09-30,电气机械和器材制造业,1
2013-09-30,装卸搬运和运输代理业,1
2013-09-30,计算机、通信和其他电子设备制造业,2
2013-09-30,软件和信息技术服务业,6
2013-09-30,道路运输业,1
2013-09-30,零售业,1
2013-12-31,专业技术服务业,1
2013-12-31,专用设备制造业,2
2013-12-31,互联网和相关服务,1
2013-12-31,仪器仪表制造业,1
2013-12-31,农副食品加工业,1
2013-12-31,化学原料和化学制品制造业,1
2013-12-31,医药制造业,6
2013-12-31,卫生,1
2013-12-31,印刷和记录媒介复制业,1
2013-12-31,开采辅助活动,1
