date,strategy_return,benchmark_return
2005,0.04931673857208296,-0.04914534661677339
2006,0.26005812553316643,1.1683776840460967
2007,0.17685995308379643,1.6711141304766066
2008,0.054819580783944,-0.6495404973397615
2009,0.12353517300725736,1.0364826792370079
2010,0.010693971092347931,-0.0731512082681639
2011,-0.06403464786426138,-0.2738211672981802
2012,0.04483655188435187,0.058067256059620265
2013,0.018505278137504355,-0.021356021373785117
2014,0.10358869328781051,0.48275843424979326
2015,0.008600608199673898,0.14913599443660708
2016,-0.013789061698220362,-0.1327088285055067
2017,-0.002170525501088316,0.1516165798250355
2018,0.014385622562573586,-0.27383466156501357
2019,0.1268877734119962,0.3370679067410418
2020,0.1038120204764672,0.25788143936804997
2021,0.02813329084198557,-0.007556345241330531
2022,0.029305216726660532,-0.21316080945625138
2023,0.11148768288288391,-0.10373211026018148
2024,0.18871526153842,0.12202815371631615
2025,0.13214248301870946,0.2088785917539946
2026,0.0889152573594052,0.07761426038589958
