date,turnover,cost,reason
2021-06-30,0.98,0.00147,rebalance
2021-09-30,1.903499610093196,0.0028552494151397,rebalance
2021-11-22,0.9800000000000002,0.00147,timing
2021-11-25,0.9800000000000002,0.00147,timing
2021-12-03,0.9800000000000002,0.00147,timing
2021-12-06,0.9800000000000002,0.00147,timing
2021-12-07,0.9800000000000002,0.00147,timing
2021-12-13,0.0719892193809009,0.0001079838290713,timing
2021-12-14,0.0077946669019003,1.1692000352850493e-05,timing
2021-12-15,0.0212894806398124,3.193422095971867e-05,timing
2021-12-16,0.013758907312454,2.0638360968681023e-05,timing
2021-12-17,0.0371575128073276,5.573626921099152e-05,timing
2021-12-20,0.8280102129576048,0.0012420153194364,timing
2021-12-21,0.565193159308746,0.0008477897389631,timing
2021-12-22,5.459582811943517e-05,8.189374217915277e-08,timing
2021-12-23,0.0510577640973548,7.658664614603226e-05,timing
2021-12-24,0.0229699553982441,3.44549330973662e-05,timing
2021-12-27,0.0022642597720704,3.3963896581056523e-06,timing
2021-12-28,0.0006533660023081,9.800490034622914e-07,timing
2021-12-29,0.488193218210649,0.0007322898273159,timing
2021-12-30,0.4846072555832705,0.0007269108833749,timing
2021-12-31,1.96,0.00294,rebalance
2022-01-04,0.0196245091984035,2.943676379760537e-05,timing
2022-01-05,0.4590058727979019,0.0006885088091968,timing
2022-03-31,1.8216415580854128,0.0027324623371281,rebalance
2022-06-30,1.8513542087615429,0.0027770313131423,rebalance
2022-09-30,1.8453507972767127,0.002768026195915,rebalance
2022-12-30,1.7816896169892025,0.0026725344254838,rebalance
2023-01-16,0.98,0.00147,timing
2023-02-10,0.0142460799638709,2.1369119945806357e-05,timing
2023-02-13,0.0970059281499252,0.0001455088922248,timing
2023-02-14,0.0124960357179059,1.8744053576858985e-05,timing
2023-02-15,0.0001479157228156,2.21873584223542e-07,timing
2023-02-16,0.1108669688357178,0.0001663004532535,timing
2023-02-17,0.7452370716097643,0.0011178556074146,timing
2023-02-20,0.7447310242357659,0.0011170965363536,timing
2023-02-21,0.0063724424589848,9.55866368847729e-06,timing
2023-02-22,0.0002065469341651,3.098204012476989e-07,timing
2023-02-23,0.0030021674642069,4.503251196310369e-06,timing
2023-02-24,0.0028312295555288,4.246844333293259e-06,timing
2023-02-27,0.0088867582973836,1.3330137446075528e-05,timing
2023-02-28,0.0309876741040238,4.648151115603572e-05,timing
2023-03-01,0.0020553415682708,3.0830123524062064e-06,timing
2023-03-02,5.818547668343284e-05,8.727821502514926e-08,timing
2023-03-03,0.0141129132775002,2.11693699162504e-05,timing
2023-03-06,0.0025715102130069,3.857265319510425e-06,timing
2023-03-07,0.0390328024139618,5.854920362094281e-05,timing
2023-03-08,2.490011589393465e-05,3.7350173840901976e-08,timing
2023-03-09,0.0182975850615898,2.7446377592384807e-05,timing
2023-03-10,0.6162909672945655,0.0009244364509418,timing
2023-03-23,0.5872173269165448,0.0008808259903748,timing
2023-03-24,0.0013445802647504,2.0168703971256525e-06,timing
2023-03-27,0.0002012307336474,3.018461004712092e-07,timing
2023-03-28,0.5856715159181469,0.0008785072738772,timing
2023-03-29,0.5812574017541308,0.0008718861026311,timing
2023-03-30,0.006159177501951,9.2387662529265e-06,timing
2023-03-31,1.96,0.00294,rebalance
2023-04-03,0.1935886518101968,0.0002903829777152,timing
2023-04-04,0.0009183309868192,1.3774964802288356e-06,timing
2023-04-06,0.0011054022193295,1.6581033289943371e-06,timing
2023-04-07,0.0135618887677721,2.0342833151658225e-05,timing
2023-04-10,0.0347331219429415,5.209968291441237e-05,timing
2023-04-11,0.0035056293367666,5.258444005149916e-06,timing
2023-04-12,0.0130587621881918,1.9588143282287703e-05,timing
2023-04-13,0.0044621222398194,6.693183359729195e-06,timing
2023-04-14,2.945505571070369e-05,4.4182583566055544e-08,timing
2023-04-17,0.0048461879464663,7.269281919699465e-06,timing
2023-04-18,0.0097660778245894,1.464911673688418e-05,timing
2023-04-19,0.0009276836198601,1.3915254297901671e-06,timing
2023-04-20,0.0227534592962279,3.413018894434192e-05,timing
2023-04-21,0.0088088462569851,1.3213269385477713e-05,timing
2023-04-24,0.2544139235677641,0.0003816208853516,timing
2023-04-28,0.2546243284085222,0.0003819364926127,timing
2023-05-04,0.0001391173410615,2.086760115922923e-07,timing
2023-05-05,0.2547634457495837,0.0003821451686243,timing
2023-05-08,0.2490627784904213,0.0003735941677356,timing
2023-05-09,0.2490627784904213,0.0003735941677356,timing
2023-06-30,1.519812959581374,0.002279719439372,rebalance
2023-07-28,0.98,0.00147,timing
2023-08-08,0.040831136968738,6.1246705453107e-05,timing
2023-08-09,0.939168863031262,0.0014087532945468,timing
2023-08-10,0.7445865145636339,0.0011168797718454,timing
2023-08-11,0.7445865145636339,0.0011168797718454,timing
2023-09-28,1.9180950877026728,0.002877142631554,rebalance
2023-12-29,1.7440514594948575,0.0026160771892422,rebalance
2024-03-29,1.8350474061951056,0.0027525711092926,rebalance
2024-05-06,0.98,0.00147,timing
2024-05-08,0.98,0.00147,timing
2024-05-09,0.98,0.00147,timing
2024-05-15,0.98,0.00147,timing
2024-05-17,0.98,0.00147,timing
2024-05-23,0.98,0.00147,timing
2024-06-28,1.5878281375584744,0.0023817422063377,rebalance
2024-09-26,0.98,0.0014699999999999,timing
2024-09-30,1.881549002642265,0.0028223235039633,rebalance
2024-10-08,0.1995092068579261,0.0002992638102868,timing
2024-10-09,0.0012140140499159,1.821021074873936e-06,timing
2024-10-10,0.0131037120220084,1.965556803301273e-05,timing
2024-10-11,0.0001039095673842,1.558643510763177e-07,timing
2024-10-14,0.0119649391799898,1.7947408769984756e-05,timing
2024-10-15,2.286078883678624e-05,3.4291183255179364e-08,timing
2024-10-16,0.0010158686565039,1.5238029847559286e-06,timing
2024-10-17,5.469714969879615e-05,8.204572454819421e-08,timing
2024-10-18,0.0056111240851416,8.41668612771245e-06,timing
2024-10-21,0.0060686951664966,9.103042749745027e-06,timing
2024-10-22,0.0009790020318391,1.4685030477586598e-06,timing
2024-10-23,0.0011092569176481,1.6638853764722505e-06,timing
2024-10-24,8.685378589169332e-05,1.3028067883753998e-07,timing
2024-10-25,0.0002541581621089,3.812372431633996e-07,timing
2024-10-28,0.0048061562869411,7.209234430411695e-06,timing
2024-10-29,0.0007004177265495,1.0506265898243773e-06,timing
2024-10-30,6.750465835250134e-05,1.01256987528752e-07,timing
2024-10-31,0.0012623625472021,1.8935438208031625e-06,timing
2024-11-01,0.0125876584571706,1.8881487685756027e-05,timing
2024-11-04,0.0008234462501396,1.235169375209481e-06,timing
2024-11-05,0.0026859160344866,4.028874051729926e-06,timing
2024-11-06,2.016843753149247e-05,3.0252656297238707e-08,timing
2024-11-07,0.0014123851585454,2.118577737818112e-06,timing
2024-11-08,9.64242436216011e-05,1.4463636543240166e-07,timing
2024-11-11,0.0001258586368782,1.8878795531732e-07,timing
2024-11-12,0.00045168240143,6.775236021451003e-07,timing
2024-11-13,4.615852567771937e-06,6.923778851657906e-09,timing
2024-11-14,0.0026193443468044,3.929016520206718e-06,timing
2024-11-15,0.003781350925263,5.672026387894501e-06,timing
2024-11-18,0.0053880235709573,8.082035356435998e-06,timing
2024-11-19,0.0015337520330023,2.3006280495034667e-06,timing
2024-11-20,0.0006879787009469,1.0319680514204217e-06,timing
2024-11-21,7.419895782806831e-05,1.112984367421025e-07,timing
2024-11-22,0.0040903926745905,6.135589011885829e-06,timing
2024-11-25,0.000194455549126,2.9168332368906364e-07,timing
2024-11-26,0.0005312408865097,7.968613297645499e-07,timing
2024-11-27,0.0003136596212027,4.704894318040766e-07,timing
2024-11-28,2.715196159248359e-05,4.072794238872538e-08,timing
2024-11-29,0.0005683388620805,8.525082931208836e-07,timing
2024-12-02,5.906265805980492e-05,8.859398708970739e-08,timing
2024-12-03,4.067043262862957e-05,6.100564894294434e-08,timing
2024-12-04,0.0005132920180689,7.699380271034761e-07,timing
2024-12-05,0.000260698928752,3.910483931280995e-07,timing
2024-12-06,7.146834404110191e-05,1.0720251606165288e-07,timing
2024-12-09,6.028433547691043e-05,9.042650321536565e-08,timing
2024-12-10,3.9812465406875545e-05,5.971869811031332e-08,timing
2024-12-11,6.14720906733611e-05,9.220813601004165e-08,timing
2024-12-12,0.0002057661069199,3.086491603798884e-07,timing
2024-12-13,0.0015412710679002,2.3119066018503118e-06,timing
2024-12-16,3.190762769632576e-05,4.7861441544488646e-08,timing
2024-12-17,0.0017392733471591,2.6089100207387195e-06,timing
2024-12-18,6.255687990906972e-05,9.38353198636046e-08,timing
2024-12-19,4.3240195982357024e-05,6.486029397353555e-08,timing
2024-12-20,6.702347422227976e-05,1.0053521133341965e-07,timing
2024-12-23,0.002904505061329,4.356757591993526e-06,timing
2024-12-24,3.842205765225773e-05,5.76330864783866e-08,timing
2024-12-25,0.0009745699745646,1.461854961846985e-06,timing
2024-12-26,2.5690343138664272e-05,3.8535514707996406e-08,timing
2024-12-27,0.0003868656851691,5.802985277537495e-07,timing
2024-12-30,0.0059709908603327,8.95648629049918e-06,timing
2024-12-31,1.8493677851883443,0.0027740516777825,rebalance
2025-01-02,8.490145903174802e-05,1.2735218854762206e-07,timing
2025-01-03,0.0050535598104759,7.5803397157138525e-06,timing
2025-01-06,0.0030169390879732,4.525408631959861e-06,timing
2025-01-07,0.0048079924864626,7.211988729693952e-06,timing
2025-01-08,0.0023918628782179,3.5877943173269672e-06,timing
2025-01-09,0.0007219664335083,1.082949650262534e-06,timing
2025-01-10,0.0025164530454266,3.774679568139937e-06,timing
2025-01-13,0.0025999231525751,3.899884728862675e-06,timing
2025-01-14,0.0008347281086847,1.2520921630270872e-06,timing
2025-01-15,0.0004198420013591,6.297630020386865e-07,timing
2025-01-16,0.0003228306520933,4.84245978140045e-07,timing
2025-01-17,2.770259964432779e-05,4.1553899466491696e-08,timing
2025-01-20,0.0028927768944846,4.339165341727022e-06,timing
2025-01-21,0.0013679705427787,2.051955814168196e-06,timing
2025-01-22,0.0003036852322408,4.555278483613238e-07,timing
2025-01-23,0.0010269931488226,1.5404897232339274e-06,timing
2025-01-24,0.001186955111494,1.7804326672410028e-06,timing
2025-01-27,0.0068028145518062,1.0204221827709302e-05,timing
2025-02-05,0.0013272189680481,1.9908284520721646e-06,timing
2025-02-06,0.0011608983803359,1.741347570503943e-06,timing
2025-02-07,0.0003171600887827,4.757401331740609e-07,timing
2025-02-10,0.002708098496298,4.062147744447142e-06,timing
2025-02-11,9.95770608503213e-06,1.4936559127548198e-08,timing
2025-02-12,0.0010148025748988,1.5222038623482026e-06,timing
2025-02-13,0.0007132897534463,1.0699346301695935e-06,timing
2025-02-14,0.0002568790188676,3.853185283014891e-07,timing
2025-02-17,0.001381813439958,2.072720159937109e-06,timing
2025-02-18,0.0003281459288534,4.922188932801146e-07,timing
2025-02-19,0.0041450835174868,6.217625276230334e-06,timing
2025-02-20,0.0028531354468139,4.279703170220876e-06,timing
2025-02-21,0.0021581637403369,3.2372456105053976e-06,timing
2025-02-24,2.728746127981336e-05,4.093119191972004e-08,timing
2025-02-25,0.0063538060106149,9.530709015922484e-06,timing
2025-02-26,0.0002590025260145,3.885037890218517e-07,timing
2025-02-27,0.0003823160364892,5.734740547338681e-07,timing
2025-02-28,0.0036502360572689,5.475354085903423e-06,timing
2025-03-03,0.0006561775867125,9.842663800688151e-07,timing
2025-03-04,0.0018511363106084,2.776704465912727e-06,timing
2025-03-05,0.0005714100951837,8.571151427755766e-07,timing
2025-03-06,0.0016947424063707,2.5421136095561173e-06,timing
2025-03-07,0.0002618140206345,3.9272103095184726e-07,timing
2025-03-10,0.0009103112191222,1.3654668286834262e-06,timing
2025-03-11,2.0292580050246863e-05,3.043887007537029e-08,timing
2025-03-12,0.0004599992310592,6.899988465888917e-07,timing
2025-03-13,0.0003546246003819,5.319369005728565e-07,timing
2025-03-14,0.0002022181476114,3.033272214172447e-07,timing
2025-03-17,0.0011166889059249,1.675033358887402e-06,timing
2025-03-18,0.0022796769956835,3.4195154935252725e-06,timing
2025-03-19,1.804175104158168e-05,2.706262656237252e-08,timing
2025-03-20,0.002450412753643,3.6756191304645113e-06,timing
2025-03-21,0.0021448453019213,3.2172679528819945e-06,timing
2025-03-24,2.1443773646229007e-05,3.216566046934351e-08,timing
2025-03-25,0.0036806129906979,5.520919486046904e-06,timing
2025-03-26,0.0050966765156479,7.645014773471938e-06,timing
2025-03-27,6.963490523442892e-05,1.0445235785164341e-07,timing
2025-03-28,0.0015244041838788,2.2866062758183446e-06,timing
2025-03-31,1.7012742861914545,0.0025519114292871,rebalance
2025-04-01,2.944543101891101e-06,4.416814652836651e-09,timing
2025-04-02,7.852554093530422e-05,1.1778831140295635e-07,timing
2025-04-03,0.0003159059753753,4.738589630630906e-07,timing
2025-04-07,0.1908203984058559,0.0002862305976087,timing
2025-04-10,0.1679588770754694,0.0002519383156132,timing
2025-04-11,0.001753299276122,2.629948914183036e-06,timing
2025-04-14,0.0014647989535958,2.1971984303937504e-06,timing
2025-04-15,0.0022115207380835,3.3172811071253026e-06,timing
2025-04-16,0.0001318272414724,1.977408622086858e-07,timing
2025-04-17,0.0062786336561926,9.417950484289002e-06,timing
2025-04-18,0.0001304800471755,1.957200707633387e-07,timing
2025-04-21,0.0026736302595346,4.010445389302009e-06,timing
2025-04-22,0.0001861413021131,2.792119531697262e-07,timing
2025-04-23,0.0032091694761148,4.813754214172301e-06,timing
2025-04-24,0.0040624758519911,6.093713777986732e-06,timing
2025-04-25,9.073743140664958e-06,1.3610614710997436e-08,timing
2025-04-28,0.0001659784582101,2.4896768731521226e-07,timing
2025-04-29,0.000362783717256,5.441755758840482e-07,timing
2025-04-30,0.0023748399159962,3.5622598739943982e-06,timing
2025-05-06,0.0015194377641479,2.2791566462218995e-06,timing
2025-05-07,0.00392356220076,5.885343301140137e-06,timing
2025-05-08,0.0009778831150779,1.4668246726168774e-06,timing
2025-05-09,0.0008169714302509,1.2254571453764433e-06,timing
2025-05-12,0.0010985974427047,1.6478961640571313e-06,timing
2025-05-13,0.0015163048664545,2.274457299681807e-06,timing
2025-05-14,0.000996433989164,1.494650983746026e-06,timing
2025-05-15,0.0001518701534443,2.278052301664512e-07,timing
2025-05-16,0.0042663935169559,6.399590275433966e-06,timing
2025-05-19,0.00439073709096,6.586105636440112e-06,timing
