family,variant,period,path,annual_return,max_drawdown,sharpe,sortino,information_ratio,annual_turnover,final_nav
target_volatility,tv08,5y,reports\local_backtests\quarterly_vol_test\tv08_5y,0.11287728564665955,-0.1109551721361618,1.2581829755886573,1.5120518165963768,0.5682418561096331,12.633998161884382,1.6655057835158213
target_volatility,tv08,max,reports\local_backtests\quarterly_vol_test\tv08_max,0.06331567566229301,-0.1617313597758555,0.7650724644034077,0.75275979911986,-0.23360573005717009,10.082268540485826,3.540045894932962
target_volatility,tv10,5y,reports\local_backtests\quarterly_vol_test\tv10_5y,0.12549638714074507,-0.12335063406554525,1.202010577140557,1.3960458946344323,0.640424055180902,13.444280773800033,1.7575319638071374
target_volatility,tv10,max,reports\local_backtests\quarterly_vol_test\tv10_max,0.0698928890949837,-0.20574478899207305,0.7077603857439095,0.7081876415340168,-0.20305093692705437,10.5632763206254,4.019333622661545
target_volatility,tv12,5y,reports\local_backtests\quarterly_vol_test\tv12_5y,0.14135063372509293,-0.134506132195357,1.1892168986890477,1.3737487364876177,0.7230533674186543,14.05121030663011,1.8787972591319222
target_volatility,tv12,max,reports\local_backtests\quarterly_vol_test\tv12_max,0.07507047497793584,-0.24478504041256344,0.6566046740775774,0.6620979509967146,-0.17583615094848506,10.992152470109172,4.439421780545831
target_volatility,tv14,5y,reports\local_backtests\quarterly_vol_test\tv14_5y,0.15720633646980509,-0.14005792800616546,1.1844814763263447,1.365618438636293,0.7981623330754376,14.39205906121433,2.0065937964499208
target_volatility,tv14,max,reports\local_backtests\quarterly_vol_test\tv14_max,0.07874171767383498,-0.2756107221750824,0.6092314417092856,0.6158896346140597,-0.15315611782835584,11.335738490983623,4.762254450235621
target_volatility,tv16,5y,reports\local_backtests\quarterly_vol_test\tv16_5y,0.17371800012259575,-0.1403854108000927,1.1996399243323344,1.3930975939002717,0.8723683832899294,14.623099551291599,2.146881714526252
target_volatility,tv16,max,reports\local_backtests\quarterly_vol_test\tv16_max,0.08104501880613824,-0.3272992277246157,0.5656313545559392,0.5705092931501137,-0.13511712027662862,11.587353903481654,4.976069143587417
target_volatility,tv18,5y,reports\local_backtests\quarterly_vol_test\tv18_5y,0.19002573734092754,-0.1403854108000947,1.207907182229622,1.4059922859377607,0.9368477574757681,14.865340562884153,2.2929353854596832
target_volatility,tv18,max,reports\local_backtests\quarterly_vol_test\tv18_max,0.08264331201705288,-0.3738356121630678,0.5283719542383785,0.5313833534090981,-0.11934687706829948,11.789209034237807,5.1297727181550705
target_volatility,tv20,5y,reports\local_backtests\quarterly_vol_test\tv20_5y,0.20239721296547342,-0.14038541080009437,1.2092736246557256,1.3855911153742442,0.9807635145034037,15.000077940594394,2.408885001681324
