,0
start_date,2021-06-30
end_date,2026-06-16
annual_return,0.10735026766778688
benchmark_annual_return,0.0011863394325806187
cumulative_return,0.6264191980513958
benchmark_cumulative_return,0.005671318276732729
max_drawdown,-0.07297477965527543
sharpe,1.2014386128764587
sortino,1.303631919859974
information_ratio,0.5377644890418561
beta,0.20965846020591314
annual_turnover,13.454343044670226
average_period_turnover,0.12733150935132914
total_cost_drag,0.09626262106960484
final_nav,1.6264191980513958
benchmark_final_nav,1.0056713182767327
rebalance_count,504
hold_count,30
sell_rank,60
weighting,inv_vol
