date,portfolio_value,nav,daily_return,benchmark_nav
2021-06-30,998530.0,0.99853,-0.0014700000000000002,1.0
2021-07-01,998713.5274365476,0.9987135274365475,0.00018379761904761908,0.9978448384119251
2021-07-02,998896.6427507477,0.9988966427507477,0.00018335119047619046,0.9738217496807617
2021-07-05,999079.5002945046,0.9990795002945045,0.00018305952380952382,0.9762492564164639
2021-07-06,999262.986002255,0.999262986002255,0.0001836547619047619,0.9757997133964608
2021-07-07,999444.7210098401,0.9994447210098402,0.00018186904761904762,0.9861256495299345
2021-07-08,999622.1819385766,0.9996221819385767,0.00017755952380952384,0.9778477269874882
2021-07-09,999801.3106635008,0.9998013106635008,0.00017919642857142857,0.9768758694472712
2021-07-12,999976.4603800136,0.9999764603800135,0.0001751845238095238,0.9895567417415628
2021-07-13,1000150.5991378998,1.0001505991378998,0.00017414285714285714,0.9928350028431848
2021-07-14,1000325.3635485445,1.0003253635485445,0.00017473809523809526,0.9819906245685244
2021-07-15,1000501.3553150351,1.000501355315035,0.00017593452380952385,0.9932639418842122
2021-07-16,1000676.6336239019,1.000676633623902,0.0001751904761904762,0.9845926806154752
2021-07-19,1000852.2464166945,1.0008522464166945,0.00017549404761904762,0.9862060013947507
2021-07-20,1001026.549601371,1.001026549601371,0.00017415476190476192,0.985922696683839
2021-07-21,1001200.4422134162,1.0012004422134162,0.00017371428571428572,0.993867137981468
2021-07-22,1001374.9609857363,1.0013749609857363,0.0001743095238095238,0.9963891344186235
2021-07-23,1001548.6160935541,1.001548616093554,0.0001734166666666667,0.9857528234529247
2021-07-26,1001719.7795597246,1.0017197795597246,0.00017089880952380953,0.9575192531671357
2021-07-27,1001893.3513620041,1.001893351362004,0.00017327380952380952,0.9267613666699626
2021-07-28,1002068.1578972132,1.0020681578972133,0.00017447619047619047,0.9249409649424211
2021-07-29,1002240.1795976523,1.0022401795976523,0.00017166666666666665,0.9427799374307573
2021-07-30,1002409.3851822591,1.002409385182259,0.00016882738095238094,0.9372385813086439
2021-08-02,1002577.7183582993,1.0025777183582993,0.00016792857142857142,0.9588984411427705
2021-08-03,1002746.8257678535,1.0027468257678536,0.00016867261904761902,0.957173077094847
2021-08-04,1002915.9676699287,1.0029159676699286,0.00016867857142857144,0.9675515643342714
2021-08-05,1003083.048694352,1.003083048694352,0.0001665952380952381,0.9624237125348929
2021-08-06,1003251.059134276,1.003251059134276,0.00016749404761904761,0.9592764547464016
2021-08-09,1003421.940259616,1.003421940259616,0.00017032738095238093,0.9701278471415642
2021-08-10,1003593.7523758871,1.003593752375887,0.00017122619047619047,0.979994248786507
2021-08-11,1003766.0419438175,1.0037660419438175,0.00017167261904761907,0.9776341433650064
2021-08-12,1003936.7180197352,1.0039367180197352,0.00017003571428571428,0.9720971162703904
2021-08-13,1004108.7736505995,1.0041087736505996,0.00017138095238095237,0.9678189959443588
2021-08-16,1004281.7612710507,1.0042817612710506,0.00017227976190476192,0.965896378023248
2021-08-17,1004454.037438182,1.004454037438182,0.00017154166666666666,0.9453004725928081
2021-08-18,1004624.4000176032,1.0046244000176032,0.00016960714285714287,0.9552809632915453
2021-08-19,1004794.1994809278,1.0047941994809277,0.00016901785714285714,0.9507036834197168
2021-08-20,1004964.7752581253,1.0049647752581252,0.00016976190476190476,0.9360027809526514
2021-08-23,1005136.289246436,1.005136289246436,0.00017066666666666665,0.9493338293388128
2021-08-24,1005306.9350633521,1.0053069350633521,0.00016977380952380952,0.9593128770283843
2021-08-25,1005477.7594507049,1.005477759450705,0.00016992261904761905,0.9628037901896088
2021-08-26,1005650.4143459706,1.0056504143459706,0.0001717142857142857,0.947325324973427
2021-08-27,1005822.2009863927,1.0058222009863926,0.00017082142857142857,0.9531148604061244
2021-08-30,1005992.8614735303,1.0059928614735303,0.00016967261904761904,0.9525985188479006
2021-08-31,1006163.2215741787,1.0061632215741787,0.0001693452380952381,0.952391401367757
2021-09-01,1006332.2689735368,1.0063322689735368,0.00016801190476190477,0.959848836204888
2021-09-02,1006501.7940303476,1.0065017940303476,0.00016845833333333334,0.963572932340935
2021-09-03,1006671.5034132017,1.0066715034132017,0.00016861309523809524,0.9587261750738725
2021-09-06,1006841.4031977718,1.0068414031977717,0.00016877380952380952,0.9747236304094051
2021-09-07,1007012.8299328734,1.0070128299328733,0.00017026190476190475,0.9882160766308737
2021-09-08,1007184.8912619401,1.00718489126194,0.00017086309523809524,0.9866174964642164
2021-09-09,1007357.1318686423,1.0073571318686423,0.00017101190476190477,0.9887088185961576
2021-09-10,1007528.9582137066,1.0075289582137066,0.00017057142857142857,0.9948577729067792
2021-09-13,1007702.3251608735,1.0077023251608734,0.00017207142857142858,0.9929561060174812
2021-09-14,1007875.4220281322,1.0078754220281323,0.00017177380952380954,0.9788593860083672
2021-09-15,1008049.4545169276,1.0080494545169276,0.00017267261904761904,0.9726220245539148
2021-09-16,1008222.7730198666,1.0082227730198665,0.00017193452380952383,0.9589895333796055
2021-09-17,1008395.5211896367,1.0083955211896367,0.00017133928571428568,0.9644743929529858
2021-09-22,1008567.4226142281,1.008567422614228,0.00017047023809523812,0.961300357298202
2021-09-23,1008738.90909296,1.00873890909296,0.0001700297619047619,0.9675868358621091
2021-09-24,1008911.3494068305,1.0089113494068305,0.0001709464285714286,0.9630067430357042
2021-09-27,1009084.4557737748,1.0090844557737748,0.00017157738095238096,0.9602720945389461
2021-09-28,1009257.2554803712,1.0092572554803712,0.0001712440476190476,0.9621610483348338
2021-09-29,1009429.345857398,1.009429345857398,0.00017051190476190473,0.9485517549028105
2021-09-30,1006720.0741345399,1.00672007413454,-0.0026839637008540798,0.956440612948647
2021-10-08,1006894.6381969186,1.0068946381969186,0.0001733988095238095,0.965484280177801
