date,order_book_id,weight
2006-03-31,000002.XSHE,0.033513387642937764
2006-03-31,000031.XSHE,0.027889932213685437
2006-03-31,000063.XSHE,0.04505551921274677
2006-03-31,000069.XSHE,0.028573722555352336
2006-03-31,000157.XSHE,0.03513608457961409
2006-03-31,000630.XSHE,0.02404939545836224
2006-03-31,000758.XSHE,0.031255280355466285
2006-03-31,000792.XSHE,0.0397901079846637
2006-03-31,000878.XSHE,0.023842194166512017
2006-03-31,000898.XSHE,0.03082153974357938
2006-03-31,000960.XSHE,0.03663188435481126
2006-03-31,000970.XSHE,0.027928629243578643
2006-03-31,600028.XSHG,0.0439487398509069
2006-03-31,600050.XSHG,0.06564396801911364
2006-03-31,600123.XSHG,0.02952404795351014
2006-03-31,600183.XSHG,0.019169939434694562
2006-03-31,600308.XSHG,0.026770586376766107
2006-03-31,600316.XSHG,0.027019168097833918
2006-03-31,600320.XSHG,0.03421043821462641
2006-03-31,600331.XSHG,0.025796417358424032
2006-03-31,600348.XSHG,0.032907280241828624
2006-03-31,600456.XSHG,0.02672622480130787
2006-03-31,600489.XSHG,0.023738231547297872
2006-03-31,600508.XSHG,0.02988281958761203
2006-03-31,600550.XSHG,0.021438883332496706
2006-03-31,600583.XSHG,0.03337221549133256
2006-03-31,600663.XSHG,0.029406583651249523
2006-03-31,600675.XSHG,0.03462014854282207
2006-03-31,600688.XSHG,0.03291456126249743
2006-03-31,600690.XSHG,0.05842206872436977
2006-04-03,000002.XSHE,0.033513387642937764
2006-04-03,000031.XSHE,0.027889932213685437
2006-04-03,000063.XSHE,0.04505551921274677
2006-04-03,000069.XSHE,0.028573722555352336
2006-04-03,000157.XSHE,0.03513608457961409
2006-04-03,000630.XSHE,0.02404939545836224
2006-04-03,000758.XSHE,0.031255280355466285
2006-04-03,000792.XSHE,0.0397901079846637
2006-04-03,000878.XSHE,0.023842194166512017
2006-04-03,000898.XSHE,0.03082153974357938
2006-04-03,000960.XSHE,0.03663188435481126
2006-04-03,000970.XSHE,0.027928629243578643
2006-04-03,600028.XSHG,0.0439487398509069
2006-04-03,600050.XSHG,0.06564396801911364
2006-04-03,600123.XSHG,0.02952404795351014
2006-04-03,600183.XSHG,0.019169939434694562
2006-04-03,600308.XSHG,0.026770586376766107
2006-04-03,600316.XSHG,0.027019168097833918
2006-04-03,600320.XSHG,0.03421043821462641
2006-04-03,600331.XSHG,0.025796417358424032
2006-04-03,600348.XSHG,0.032907280241828624
2006-04-03,600456.XSHG,0.02672622480130787
2006-04-03,600489.XSHG,0.023738231547297872
2006-04-03,600508.XSHG,0.02988281958761203
2006-04-03,600550.XSHG,0.021438883332496706
2006-04-03,600583.XSHG,0.03337221549133256
2006-04-03,600663.XSHG,0.029406583651249523
2006-04-03,600675.XSHG,0.03462014854282207
2006-04-03,600688.XSHG,0.03291456126249743
2006-04-03,600690.XSHG,0.05842206872436977
2006-04-04,000002.XSHE,0.033513387642937764
2006-04-04,000031.XSHE,0.027889932213685437
2006-04-04,000063.XSHE,0.04505551921274677
2006-04-04,000069.XSHE,0.028573722555352336
2006-04-04,000157.XSHE,0.03513608457961409
2006-04-04,000630.XSHE,0.02404939545836224
2006-04-04,000758.XSHE,0.031255280355466285
2006-04-04,000792.XSHE,0.0397901079846637
2006-04-04,000878.XSHE,0.023842194166512017
2006-04-04,000898.XSHE,0.03082153974357938
2006-04-04,000960.XSHE,0.03663188435481126
2006-04-04,000970.XSHE,0.027928629243578643
2006-04-04,600028.XSHG,0.0439487398509069
2006-04-04,600050.XSHG,0.06564396801911364
2006-04-04,600123.XSHG,0.02952404795351014
2006-04-04,600183.XSHG,0.019169939434694562
2006-04-04,600308.XSHG,0.026770586376766107
2006-04-04,600316.XSHG,0.027019168097833918
2006-04-04,600320.XSHG,0.03421043821462641
2006-04-04,600331.XSHG,0.025796417358424032
2006-04-04,600348.XSHG,0.032907280241828624
2006-04-04,600456.XSHG,0.02672622480130787
2006-04-04,600489.XSHG,0.023738231547297872
2006-04-04,600508.XSHG,0.02988281958761203
2006-04-04,600550.XSHG,0.021438883332496706
2006-04-04,600583.XSHG,0.03337221549133256
2006-04-04,600663.XSHG,0.029406583651249523
2006-04-04,600675.XSHG,0.03462014854282207
2006-04-04,600688.XSHG,0.03291456126249743
2006-04-04,600690.XSHG,0.05842206872436977
2006-04-05,000002.XSHE,0.033513387642937764
2006-04-05,000031.XSHE,0.027889932213685437
2006-04-05,000063.XSHE,0.04505551921274677
2006-04-05,000069.XSHE,0.028573722555352336
2006-04-05,000157.XSHE,0.03513608457961409
2006-04-05,000630.XSHE,0.02404939545836224
2006-04-05,000758.XSHE,0.031255280355466285
2006-04-05,000792.XSHE,0.0397901079846637
2006-04-05,000878.XSHE,0.023842194166512017
2006-04-05,000898.XSHE,0.03082153974357938
2006-04-05,000960.XSHE,0.03663188435481126
2006-04-05,000970.XSHE,0.027928629243578643
2006-04-05,600028.XSHG,0.0439487398509069
2006-04-05,600050.XSHG,0.06564396801911364
2006-04-05,600123.XSHG,0.02952404795351014
2006-04-05,600183.XSHG,0.019169939434694562
2006-04-05,600308.XSHG,0.026770586376766107
2006-04-05,600316.XSHG,0.027019168097833918
2006-04-05,600320.XSHG,0.03421043821462641
2006-04-05,600331.XSHG,0.025796417358424032
2006-04-05,600348.XSHG,0.032907280241828624
2006-04-05,600456.XSHG,0.02672622480130787
2006-04-05,600489.XSHG,0.023738231547297872
2006-04-05,600508.XSHG,0.02988281958761203
2006-04-05,600550.XSHG,0.021438883332496706
2006-04-05,600583.XSHG,0.03337221549133256
2006-04-05,600663.XSHG,0.029406583651249523
2006-04-05,600675.XSHG,0.03462014854282207
2006-04-05,600688.XSHG,0.03291456126249743
2006-04-05,600690.XSHG,0.05842206872436977
2006-04-06,000002.XSHE,0.033513387642937764
2006-04-06,000031.XSHE,0.027889932213685437
2006-04-06,000063.XSHE,0.04505551921274677
2006-04-06,000069.XSHE,0.028573722555352336
2006-04-06,000157.XSHE,0.03513608457961409
2006-04-06,000630.XSHE,0.02404939545836224
2006-04-06,000758.XSHE,0.031255280355466285
2006-04-06,000792.XSHE,0.0397901079846637
2006-04-06,000878.XSHE,0.023842194166512017
2006-04-06,000898.XSHE,0.03082153974357938
2006-04-06,000960.XSHE,0.03663188435481126
2006-04-06,000970.XSHE,0.027928629243578643
2006-04-06,600028.XSHG,0.0439487398509069
2006-04-06,600050.XSHG,0.06564396801911364
2006-04-06,600123.XSHG,0.02952404795351014
2006-04-06,600183.XSHG,0.019169939434694562
2006-04-06,600308.XSHG,0.026770586376766107
2006-04-06,600316.XSHG,0.027019168097833918
2006-04-06,600320.XSHG,0.03421043821462641
2006-04-06,600331.XSHG,0.025796417358424032
2006-04-06,600348.XSHG,0.032907280241828624
2006-04-06,600456.XSHG,0.02672622480130787
2006-04-06,600489.XSHG,0.023738231547297872
2006-04-06,600508.XSHG,0.02988281958761203
2006-04-06,600550.XSHG,0.021438883332496706
2006-04-06,600583.XSHG,0.03337221549133256
2006-04-06,600663.XSHG,0.029406583651249523
2006-04-06,600675.XSHG,0.03462014854282207
2006-04-06,600688.XSHG,0.03291456126249743
2006-04-06,600690.XSHG,0.05842206872436977
2006-04-07,000002.XSHE,0.033513387642937764
2006-04-07,000031.XSHE,0.027889932213685437
2006-04-07,000063.XSHE,0.04505551921274677
2006-04-07,000069.XSHE,0.028573722555352336
2006-04-07,000157.XSHE,0.03513608457961409
2006-04-07,000630.XSHE,0.02404939545836224
2006-04-07,000758.XSHE,0.031255280355466285
2006-04-07,000792.XSHE,0.0397901079846637
2006-04-07,000878.XSHE,0.023842194166512017
2006-04-07,000898.XSHE,0.03082153974357938
2006-04-07,000960.XSHE,0.03663188435481126
2006-04-07,000970.XSHE,0.027928629243578643
2006-04-07,600028.XSHG,0.0439487398509069
2006-04-07,600050.XSHG,0.06564396801911364
2006-04-07,600123.XSHG,0.02952404795351014
