date,turnover,cost,reason
2005-03-31,0.0,0.0,rebalance
2005-06-30,0.0,0.0,rebalance
2005-09-30,0.0,0.0,rebalance
2005-12-30,0.0,0.0,rebalance
2006-03-31,0.9800000000000002,0.0014700000000000004,rebalance
2006-04-13,0.16751288411537538,0.0002512693261730631,timing
2006-04-14,0.09318126838148029,0.00013977190257222043,timing
2006-04-17,0.000389484432673122,5.84226649009683e-07,timing
2006-04-18,0.025638787966289045,3.845818194943357e-05,timing
2006-04-19,0.04900472180276521,7.350708270414781e-05,timing
2006-04-20,0.004328975414583599,6.4934631218753985e-06,timing
2006-04-21,0.014121640914851796,2.1182461372277695e-05,timing
2006-04-24,0.0022784541026763146,3.417681154014472e-06,timing
2006-04-25,0.0433151140378352,6.497267105675281e-05,timing
2006-04-26,0.0024962784163046793,3.7444176244570192e-06,timing
2006-04-27,0.00023710953643947368,3.5566430465921053e-07,timing
2006-04-28,0.0002027462898365421,3.0411943475481315e-07,timing
2006-05-08,0.07516799568458321,0.00011275199352687482,timing
2006-05-09,0.0021791670837679345,3.268750625651902e-06,timing
2006-05-10,0.0024616943241487343,3.6925414862231014e-06,timing
2006-05-11,0.000358469183346961,5.377037750204415e-07,timing
2006-05-12,0.027111902104359216,4.0667853156538826e-05,timing
2006-05-15,0.014500866789169217,2.1751300183753826e-05,timing
2006-05-16,0.023534964008325634,3.530244601248845e-05,timing
2006-05-17,0.0006802183150361289,1.0203274725541935e-06,timing
2006-05-18,0.00800044355663269,1.2000665334949036e-05,timing
2006-05-19,0.0007939514650140232,1.1909271975210347e-06,timing
2006-05-22,0.005991403865093179,8.987105797639769e-06,timing
2006-05-23,0.028204187194495953,4.230628079174393e-05,timing
2006-05-24,0.0001635084237772656,2.452626356658984e-07,timing
2006-05-25,5.8290359894281815e-05,8.743553984142273e-08,timing
2006-05-26,0.0010918748692955284,1.6378123039432926e-06,timing
2006-05-29,0.002595063709511478,3.892595564267217e-06,timing
2006-05-30,0.004062404112459473,6.0936061686892094e-06,timing
2006-05-31,0.005933347444143261,8.900021166214892e-06,timing
2006-06-01,0.0002522800612019746,3.784200918029619e-07,timing
2006-06-02,0.018613785084186693,2.792067762628004e-05,timing
2006-06-05,0.0004245741562036798,6.368612343055197e-07,timing
2006-06-06,0.002390245225378642,3.585367838067963e-06,timing
2006-06-07,0.0362314617507711,5.434719262615665e-05,timing
2006-06-08,0.00017938356999998382,2.690753549999757e-07,timing
